MidPoint,Slope,resultList,LinerType
10,0.25,"[0.49665890133724416, 0.5268514507054544, 0.5618562351452291, 0.6023544743427395, 0.6487658934672976, 0.7008610778029521, 0.7573313423028039, 0.8157044826748714, 0.8729607469157734, 0.9265342763256627, 0.9749275426047326]",0.0
20,0.25,"[0.30696653823874404, 0.3240158411348356, 0.34553034943569916, 0.37317621995157946, 0.4094147669629174, 0.45790906397429, 0.5238846289778919, 0.6131458083320551, 0.7255094634853787, 0.8442600538901155, 0.9469526296896316]",0.0
30,0.25,"[0.2250950783395252, 0.23221048599502028, 0.2419842291317453, 0.2558987225145056, 0.2764646658381527, 0.3079660320449002, 0.357725251179386, 0.43834826907669877, 0.5691740113125201, 0.7506552819432436, 0.9153063607104389]",0.0
40,0.25,"[0.17865447216723776, 0.17732892053048394, 0.17534198940102266, 0.17154858619614824, 0.0035771055052893023, 0.0029171788656778223, 0.003051863867885847, 0.004048210772243253, 0.40136060160756293, 0.6402599490438122, 0.8788122764797739]",0.17573729330155993
50,0.25,"[0.14844355628560163, 0.1386644796704711, 0.004357276951708373, 0.0016516832856959054, 0.0012429468419315954, 0.0011367012672142613, 0.0011985314293294425, 0.0014829560359817388, 0.0023988565912245003, 0.48653755214734007, 0.8354947490501511]",0.14730685501838736
60,0.25,"[0.12709001524584723, 0.104904112428427, 0.0014024687415485643, 0.0008484381523171698, 0.000684406441603658, 0.0006398227650174388, 0.000673079119735902, 0.0008102711991206041, 0.0012158982102635672, 0.0031987414839663134, 0.7815064510891553]",0.12645019248082978
70,0.25,"[0.11109221344639074, 0.0036355024886342954, 0.0008085086665897839, 0.0005349833906604257, 0.0004439391960542488, 0.0004189302787269084, 0.00043977942681357624, 0.0005216148518549846, 0.0007524183308812837, 0.0017724578552732672, 0.7069022123024271]",0.11067328316766382
80,0.25,"[0.09854950402960364, 0.0014678702989536312, 0.0005411644146201304, 0.0003738236858037741, 0.0003149517626235681, 0.0002987200462511039, 0.00031311262096672535, 0.0003680272326885745, 0.0005183926372798006, 0.001138161557014225, 0.5061726804869325]",0.09825078398335253
90,0.25,"[0.08834048650278317, 0.0009277807785800797, 0.00039279288345853635, 0.0002782273037262131, 0.000236605129500452, 0.00022511426221169227, 0.0002357106682824992, 0.00027540695892410414, 0.0003819521157067174, 0.000800275054050235, 0.032043150397286696]",0.031818036135075
100,0.25,"[0.07977082167046085, 0.0006586803221491311, 0.0003003072214093023, 0.0002161999634190147, 0.00018500349740658138, 0.00017638926192700954, 0.0001845543473510063, 0.00021475074992304563, 0.0002946548591188818, 0.0005975651178977633, 0.026023888624800304]",0.025847499362873293
