MidPoint,Slope,resultList,LinerType
10,0.25,"[0.49665890133724416, 0.5262001535589906, 0.5601565776788466, 0.5991998133946067, 0.6438402838937536, 0.6941238050365991, 0.7492401104942139, 0.8073046777689022, 0.8656754964505102, 0.9217669220205418, 0.9737718445975588]",0
20,0.25,"[0.30696653823874404, 0.32547562447751427, 0.3478451399855111, 0.3754300236267449, 0.4102536935672613, 0.45539566841609264, 0.5154918611805762, 0.5967219958409674, 0.7032998927362162, 0.826732193097688, 0.9444035257737016]",0
30,0.25,"[0.2250950783395252, 0.236985296864883, 0.2514684237256158, 0.2695658200677411, 0.2929135941001891, 0.32428269726669423, 0.3686756958877839, 0.43570902480565527, 0.5438649729298525, 0.7146227786475055, 0.911044533523653]",0
40,0.25,"[0.1786544721672408, 0.18655993764334733, 0.19614203690126378, 0.2080769955847529, 0.22347973887252015, 0.2443291503881177, 0.2744848392049582, 0.3224280288234723, 0.4094647337666802, 0.5892064346932308, 0.872385904379804]",0
50,0.25,"[0.1484435562856225, 0.1538023538930777, 0.16021706046667586, 0.1680962659405646, 0.1781117727335917, 0.1914632994784294, 0.2105517225545015, 0.24104004620532188, 0.2999696022268661, 0.45498377616101515, 0.8262130138984518]",0
60,0.25,"[0.1270900152458485, 0.13076079040243818, 0.13508398608279854, 0.14029013974096335, 0.1467473458270983, 0.1550914043517779, 0.1665495866270353, 0.18392944540039763, 0.21585579317610468, 0.3117896443810903, 0.7681691348056756]",0
70,0.25,"[0.11109221344623743, 0.1136117403434411, 0.11652888395718812, 0.11996763138027035, 0.1241171206188246, 0.12928560123717361, 0.1360238027090941, 0.1454606813197801, 0.16051718691774058, 0.19390968901727632, 0.686814644825945]",0
80,0.25,"[0.0985495040292296, 0.10025914857598216, 0.1022076407081356, 0.1044594859331337, 0.10710809901160127, 0.11029583949668147, 0.11425498518407737, 0.11940296543035903, 0.12661040802032833, 0.13825172092955285, 0.4526354542251906]",0
90,0.25,"[0.0883404865026419, 0.08945862628586088, 0.09071624260153534, 0.09214600925803534, 0.09379300723116328, 0.09572182739427126, 0.09802959956184354, 0.10087208183439057, 0.10452242470834637, 0.10952628251203081, 0.11716145144142114]",0
100,0.25,"[0.0797708216719745, 0.08043903122054474, 0.08118345719667643, 0.08202027190716057, 0.08297118650475467, 0.08406632456719654, 0.08534930792876098, 0.08688708790502919, 0.0887914129010573, 0.09127341384620434, 0.09470711661761344]",0
